"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 15:28:03 GMT 2024","Mon Oct 28 15:28:09 GMT 2024","5645","independent (desktop)","1-wallet-connect/walletConnect.spec.ts","","","","1D. Should reject wallet connection in mainnet",""
"failed","Mon Oct 28 15:39:57 GMT 2024","Mon Oct 28 15:40:08 GMT 2024","11005","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Proposal checks","","","5C. Should show required field in proposal voting on registered as DRep",""
"passed","Mon Oct 28 15:27:06 GMT 2024","Mon Oct 28 15:27:18 GMT 2024","11731","auth setup","auth.setup.ts","","","","Create DRep 01 auth",""
"failed","Mon Oct 28 15:38:53 GMT 2024","Mon Oct 28 15:39:18 GMT 2024","24827","dRep","3-drep-registration/dRepRegistration.dRep.spec.ts","Temporary DReps","","","3I. Should display 'In Progress' status on dashboard until blockchain confirms DRep registration",""
"passed","Mon Oct 28 15:43:57 GMT 2024","Mon Oct 28 15:45:22 GMT 2024","84500","delegation","2-delegation/delegationFunctionality.delegation.spec.ts","No confidence delegation","","","2V. Should show delegated voting power to No confidence",""
"passed","Mon Oct 28 15:32:35 GMT 2024","Mon Oct 28 15:32:41 GMT 2024","6295","loggedin (desktop)","6-miscellaneous/miscellaneous.loggedin.spec.ts","Logged in user","","","6G. Should restrict edit dRep for non dRep",""
"passed","Mon Oct 28 15:43:01 GMT 2024","Mon Oct 28 15:43:07 GMT 2024","6212","delegation","2-delegation/delegationFunctionality.delegation.spec.ts","Delegate to others","","","2L. Should copy delegated DRepId",""
"passed","Mon Oct 28 15:29:17 GMT 2024","Mon Oct 28 15:29:22 GMT 2024","4949","independent (desktop)","8-proposal-discussion/proposalDiscussion.spec.ts","Mocked proposal","","","8E. Should share proposed governance action",""
"passed","Mon Oct 28 15:28:51 GMT 2024","Mon Oct 28 15:29:08 GMT 2024","16634","independent (desktop)","8-proposal-discussion/proposalDiscussion.spec.ts","Filter and sort proposals","","","8B_2. Should sort the list of proposed governance actions.",""
"broken","Mon Oct 28 15:39:44 GMT 2024","Mon Oct 28 15:41:14 GMT 2024","90573","dRep","4-proposal-visibility/proposalVisibility.dRep.spec.ts","Check vote count","","","4G. Should display correct vote counts on governance details page for DRep",""
"passed","Mon Oct 28 15:35:09 GMT 2024","Mon Oct 28 15:35:50 GMT 2024","40934","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Info Proposal Draft","","","7C. Should list unfinished Draft",""
"passed","Mon Oct 28 15:36:52 GMT 2024","Mon Oct 28 15:37:57 GMT 2024","65496","loggedin (desktop)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","Proposal created with poll enabled (user auth)","","","8T. Should change vote on poll.",""
"passed","Mon Oct 28 15:32:00 GMT 2024","Mon Oct 28 15:32:05 GMT 2024","5284","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","","","","3O. Should reject invalid dRep registration metadata",""
"passed","Mon Oct 28 15:32:17 GMT 2024","Mon Oct 28 15:32:28 GMT 2024","10065","loggedin (desktop)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4M. Should show view-all categorized governance actions",""
"failed","Mon Oct 28 15:36:42 GMT 2024","Mon Oct 28 15:37:52 GMT 2024","69802","loggedin (desktop)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","Proposal created logged in state","","","8N. Should reply to comments",""
"passed","Mon Oct 28 15:34:44 GMT 2024","Mon Oct 28 15:35:09 GMT 2024","24682","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Verify Proposal form","","","7D_1. Verify info proposal form",""
"passed","Mon Oct 28 15:30:03 GMT 2024","Mon Oct 28 15:30:11 GMT 2024","7352","mobile","6-miscellaneous/miscellaneous.spec.ts","User Snap > Feedback Tests","","","6Q. Should report an issue",""
"broken","Mon Oct 28 15:43:18 GMT 2024","Mon Oct 28 15:44:48 GMT 2024","90310","delegation","2-delegation/delegationFunctionality.delegation.spec.ts","Multiple delegations","","","2R. Should display a modal indicating waiting for previous transaction when delegating if the previous transaction is not completed",""
"passed","Mon Oct 28 15:33:05 GMT 2024","Mon Oct 28 15:35:03 GMT 2024","117598","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Reject invalid  data","","","7F_2. Should reject invalid data in treasury Proposal form",""
"passed","Mon Oct 28 15:39:03 GMT 2024","Mon Oct 28 15:39:45 GMT 2024","41897","dRep","3-drep-registration/editDRep.dRep.spec.ts","Validation of edit dRep Form","","","3M_1. Should accept valid data in edit dRep form",""
"passed","Mon Oct 28 15:32:25 GMT 2024","Mon Oct 28 15:32:29 GMT 2024","3847","loggedin (desktop)","5-proposal-functionality/proposalFunctionality.loggedin.spec.ts","","","","5J. Should hide retirement option for non-registered DRep",""
"passed","Mon Oct 28 15:28:27 GMT 2024","Mon Oct 28 15:28:31 GMT 2024","4313","independent (desktop)","6-miscellaneous/miscellaneous.spec.ts","","","","6C. Navigation within the dApp",""
"passed","Mon Oct 28 15:29:40 GMT 2024","Mon Oct 28 15:29:44 GMT 2024","3613","mobile","4-proposal-visibility/proposalVisibility.spec.ts","","","","4A_2. Should access Governance Actions page without connecting wallet",""
"passed","Mon Oct 28 15:32:38 GMT 2024","Mon Oct 28 15:32:55 GMT 2024","17008","loggedin (desktop)","6-miscellaneous/miscellaneous.loggedin.spec.ts","Temporary user","","","6J. Should add a username.",""
"passed","Mon Oct 28 15:39:22 GMT 2024","Mon Oct 28 15:39:32 GMT 2024","10783","dRep","3-drep-registration/editDRep.dRep.spec.ts","","","","3P. Should reject invalid edit dRep metadata",""
"passed","Mon Oct 28 15:32:51 GMT 2024","Mon Oct 28 15:33:00 GMT 2024","8390","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state","","","7B. Should access proposal creation page",""
"passed","Mon Oct 28 15:28:53 GMT 2024","Mon Oct 28 15:29:10 GMT 2024","16846","independent (desktop)","8-proposal-discussion/proposalDiscussion.spec.ts","","","","8C. Should search the list of proposed governance actions.",""
"passed","Mon Oct 28 15:27:06 GMT 2024","Mon Oct 28 15:27:17 GMT 2024","11487","auth setup","auth.setup.ts","","","","Create User 01 auth",""
"passed","Mon Oct 28 15:31:05 GMT 2024","Mon Oct 28 15:31:59 GMT 2024","54335","governance-action setup","governance-action.setup.ts","","","","Setup temporary proposal wallets",""
"passed","Mon Oct 28 15:27:06 GMT 2024","Mon Oct 28 15:27:17 GMT 2024","11827","auth setup","auth.setup.ts","","","","Create AdaHolder 02 auth",""
"passed","Mon Oct 28 15:32:30 GMT 2024","Mon Oct 28 15:32:38 GMT 2024","7073","loggedin (desktop)","6-miscellaneous/miscellaneous.loggedin.spec.ts","Logged in user","","","6F. Should open sanchonet docs in a new tab when clicking `info` button of abstain and signal-no-confidence card",""
"passed","Mon Oct 28 15:27:26 GMT 2024","Mon Oct 28 15:27:47 GMT 2024","21662","auth setup","auth.setup.ts","","","","Create Proposal 02 auth",""
"passed","Mon Oct 28 15:36:48 GMT 2024","Mon Oct 28 15:37:54 GMT 2024","65581","loggedin (desktop)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","Proposal created with poll enabled (user auth)","","","8Q. Should vote on poll.",""
"passed","Mon Oct 28 15:30:05 GMT 2024","Mon Oct 28 15:30:12 GMT 2024","7251","mobile","6-miscellaneous/miscellaneous.spec.ts","User Snap > Feedback Tests","","","6R. Should submit an idea or new feature",""
"broken","Mon Oct 28 15:40:10 GMT 2024","Mon Oct 28 15:41:41 GMT 2024","90454","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Proposal checks > Validate provide context about vote","","","5D_2. Should reject invalid data in provide context",""
"passed","Mon Oct 28 15:38:09 GMT 2024","Mon Oct 28 15:38:16 GMT 2024","7591","dRep","2-delegation/delegation.drep.spec.ts","","","","2P. Should enable sharing of DRep details",""
"passed","Mon Oct 28 15:27:18 GMT 2024","Mon Oct 28 15:27:42 GMT 2024","23941","auth setup","auth.setup.ts","","","","Create Proposal 01 auth",""
"passed","Mon Oct 28 15:30:12 GMT 2024","Mon Oct 28 15:31:01 GMT 2024","49505","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","Filter and sort proposals","","","8B_1. Should filter the list of proposed governance actions.",""
"passed","Mon Oct 28 15:29:44 GMT 2024","Mon Oct 28 15:29:50 GMT 2024","5953","mobile","4-proposal-visibility/proposalVisibility.spec.ts","","","","4K. Should display correct vote counts on governance details page for disconnect state",""
"failed","Mon Oct 28 15:38:24 GMT 2024","Mon Oct 28 15:38:38 GMT 2024","14392","dRep","3-drep-registration/dRepRegistration.dRep.spec.ts","Logged in DReps","","","3A. Should show dRepId on dashboard and enable voting on governance actions after connecting registered dRep Wallet",""
"passed","Mon Oct 28 15:34:57 GMT 2024","Mon Oct 28 15:35:49 GMT 2024","52902","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > proposed as a governance action > Metadata anchor validation","","","7J_2. Should reject invalid metadata anchor on proposal submission",""
"passed","Mon Oct 28 15:30:29 GMT 2024","Mon Oct 28 15:30:38 GMT 2024","9376","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","","","","8H. Should disable proposal interaction on a disconnected state.",""
"passed","Mon Oct 28 15:34:25 GMT 2024","Mon Oct 28 15:34:53 GMT 2024","28143","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Review fillup form","","","7I_2. Should valid review submission in treasury Proposal form",""
"passed","Mon Oct 28 15:33:04 GMT 2024","Mon Oct 28 15:34:44 GMT 2024","100101","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Reject invalid  data","","","7F_1. Should reject invalid data in info Proposal form",""
"passed","Mon Oct 28 15:32:06 GMT 2024","Mon Oct 28 15:32:15 GMT 2024","9396","loggedin (desktop)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4C_2. Should sort Governance Action Type on governance actions page",""
"passed","Mon Oct 28 15:27:42 GMT 2024","Mon Oct 28 15:28:05 GMT 2024","23661","auth setup","auth.setup.ts","","","","Create Proposal 06 auth",""
"passed","Mon Oct 28 15:27:27 GMT 2024","Mon Oct 28 15:27:53 GMT 2024","26397","auth setup","auth.setup.ts","","","","Create Proposal 04 auth",""
